mcc,mnc,lac,cell_id,short_cell_id,rnc,psc,asu,dbm,ta,lat,lon,accuracy,speed,bearing,altitude,measured_at,net_type,neighboring,discovered_at,device,rsrp,rsrq,rssi,rssnr,cqi,rscp,csi_rsrp,csi_rsrq,csi_sinr,ss_rsrp,ss_rsrq,ss_sinr,cdma_dbm,cdma_ecio,evdo_dbm,evdo_ecio,evdo_snr,ec_no,arfcn
230,2,1713,232441032,907972,200,400,6,-101,1282,49.837205,18.179736666667,7.2,0.65,340.3,278.5,2024-06-01T05:16:03.749Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-110,-9,-101,3,,,,,,,,,,,,,,,100
230,2,1713,232440656,907971,80,479,13,-87,7,49.837238333333,18.179521666667,5.2,0.71,35.15,278.5,2024-06-01T05:16:48.481Z,LTE,false,2024-06-01T05:16:48.481Z,Xiaomi 22071212AG,-100,-14,-87,-1,,,,,,,,,,,,,,,6300
230,2,1713,233679696,912811,80,212,10,-93,4,49.837326666667,18.17961,4.9,0.43,61.48,302.1,2024-06-01T05:16:58.511Z,LTE,false,2024-06-01T05:16:58.511Z,Xiaomi 22071212AG,-99,-8,-93,1,,,,,,,,,,,,,,,6300
230,2,1713,232441032,907972,200,400,3,-107,1282,49.837266666667,18.17954,5.2,0.32,14.7,302,2024-06-01T05:17:18.508Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-115,-9,-107,4,,,,,,,,,,,,,,,100
230,2,1713,232440932,907972,100,141,5,-103,7,49.837266666667,18.17954,5.2,0.32,14.7,302,2024-06-01T05:17:28.589Z,LTE,false,2024-06-01T05:17:28.589Z,Xiaomi 22071212AG,-114,-11,-103,9,,,,,,,,,,,,,,,1404
230,2,1713,233679796,912811,180,448,9,-95,4,49.837256666667,18.179525,4.7,0.21,25.02,302,2024-06-01T05:18:18.639Z,LTE,false,2024-06-01T05:18:18.639Z,Xiaomi 22071212AG,-105,-9,-95,6,,,,,,,,,,,,,,,9260
230,2,1713,232440932,907972,100,141,5,-103,1282,49.837256666667,18.179525,4.7,0.21,25.02,302,2024-06-01T05:18:28.562Z,LTE,false,2024-06-01T05:17:28.589Z,Xiaomi 22071212AG,-114,-12,-103,4,,,,,,,,,,,,,,,1404
230,2,1713,233679796,912811,180,448,0,-113,1282,49.837473333333,18.179293333333,8.2,22.82,272.38,301,2024-06-01T05:19:48.564Z,LTE,false,2024-06-01T05:18:18.639Z,Xiaomi 22071212AG,-44,-3,-113,1,,,,,,,,,,,,,,,9260
230,2,1713,233679696,912811,80,212,11,-91,1282,49.837473333333,18.179293333333,8.2,22.82,272.38,301,2024-06-01T05:19:58.589Z,LTE,false,2024-06-01T05:16:58.511Z,Xiaomi 22071212AG,-98,-8,-91,7,,,,,,,,,,,,,,,6300
230,2,1713,232440932,907972,100,141,3,-107,1282,49.837266666667,18.179521666667,7.4,0.21,202.99,300.9,2024-06-01T05:20:08.643Z,LTE,false,2024-06-01T05:17:28.589Z,Xiaomi 22071212AG,-115,-8,-107,5,,,,,,,,,,,,,,,1404
